case_id,trigger_type,risk_score,confidence,status,final_outcome,created_at,closed_at,trigger_txn_id,subject_customer_id,pattern_id,pattern_confidence
CASE_HIST_001,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705086400,1705093600,TXN_HIST_001,CUST_0031,SYNTH_ID_SYNDICATE,0.9
CASE_HIST_002,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705172800,1705180000,TXN_HIST_002,CUST_0032,DEVICE_FARM,0.9
CASE_HIST_003,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705259200,1705266400,TXN_HIST_003,CUST_0033,CARD_TESTING,0.9
CASE_HIST_004,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705345600,1705352800,TXN_HIST_004,CUST_0034,MULE_DISPERSAL,0.9
CASE_HIST_005,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705432000,1705439200,TXN_HIST_005,CUST_0035,ATO_ADDRESS_LAUNDER,0.9
CASE_HIST_006,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705518400,1705525600,TXN_HIST_006,CUST_0036,SYNTH_ID_SYNDICATE,0.9
CASE_HIST_007,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705604800,1705612000,TXN_HIST_007,CUST_0037,DEVICE_FARM,0.9
CASE_HIST_008,HISTORICAL_AUDIT,0.88,0.92,CLOSED,CONFIRMED_FRAUD,1705691200,1705698400,TXN_HIST_008,CUST_0038,CARD_TESTING,0.9
CASE_HIST_009,HISTORICAL_AUDIT,0.25,0.92,CLOSED,CLEARED_FALSE_POSITIVE,1705777600,1705784800,TXN_HIST_009,CUST_0039,MULE_DISPERSAL,0.9
CASE_HIST_010,HISTORICAL_AUDIT,0.25,0.92,CLOSED,CLEARED_FALSE_POSITIVE,1705864000,1705871200,TXN_HIST_010,CUST_0040,ATO_ADDRESS_LAUNDER,0.9
CASE-001,ANOMALY_TRIGGER,0.94,0.96,INVESTIGATING,PENDING_INVESTIGATION,1715003600,0,TXN_BENCH_001,CUST_0001,DEVICE_FARM,0.94
CASE-002,ANOMALY_TRIGGER,0.88,0.93,INVESTIGATING,PENDING_INVESTIGATION,1715007200,0,TXN_BENCH_002,CUST_0002,SYNTH_ID_SYNDICATE,0.88
CASE-003,ANOMALY_TRIGGER,0.73,0.5,INVESTIGATING,PENDING_INVESTIGATION,1715010800,0,TXN_BENCH_003,CUST_0003,ATO_ADDRESS_LAUNDER,0.73
CASE-004,ANOMALY_TRIGGER,0.92,0.96,INVESTIGATING,PENDING_INVESTIGATION,1715014400,0,TXN_BENCH_004,CUST_0004,MULE_DISPERSAL,0.92
CASE-005,ANOMALY_TRIGGER,0.85,0.9,INVESTIGATING,PENDING_INVESTIGATION,1715018000,0,TXN_BENCH_005,CUST_0005,CARD_TESTING,0.85
