device_id,device_type,os_name,browser_name,screen_resolution,is_emulator
DEV_0001,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0002,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0003,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0004,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0005,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0006,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0007,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0008,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0009,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0010,emulator,Linux/Android Emulator,HeadlessChrome,800x600,true
DEV_0011,desktop,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0012,tablet,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0013,mobile,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0014,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0015,tablet,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0016,desktop,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0017,desktop,Windows 11,Chrome 122.0,1920x1080,false
DEV_0018,desktop,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0019,tablet,Windows 11,Edge 122.0,1920x1080,false
DEV_0020,mobile,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0021,tablet,Windows 11,Chrome 122.0,1920x1080,false
DEV_0022,tablet,Android 14,Firefox 124.0,1920x1080,false
DEV_0023,desktop,Android 14,Edge 122.0,1920x1080,false
DEV_0024,desktop,macOS Sonoma,Chrome 122.0,1920x1080,false
DEV_0025,tablet,Android 14,Safari 17.2,1920x1080,false
DEV_0026,tablet,Windows 11,Firefox 124.0,1920x1080,false
DEV_0027,tablet,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0028,mobile,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0029,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0030,desktop,Windows 11,Firefox 124.0,1920x1080,false
DEV_0031,mobile,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0032,desktop,Windows 11,Chrome 122.0,1920x1080,false
DEV_0033,tablet,macOS Sonoma,Chrome 122.0,1920x1080,false
DEV_0034,tablet,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0035,tablet,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0036,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
