txn_id,amount,timestamp,product_code,risk_score,billing_region,dist1,dist2,card_id,card_bin,card_issuer,card_brand,card_category,ip_address,ip_type,ip_country,ip_isp,ip_reputation,email_id,email_domain,is_disposable_email,address_id,addr_region,addr_country,addr_postal,merchant_id,merch_category,merch_risk,merch_terminals,account_id,device_id
TXN_100001,61.83,1710497113,W,0.077,CA,5.2,0.0,CARD_0001,441358,WellsFargo,amex,credit,198.51.0.11,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00000,disposable-mail.net,true,ADDR_00000,CA,US,90210,MERCH_001,crypto_gateway,HIGH,2,ACCT_0001,DEV_0001
TXN_100002,93.66,1710282829,W,0.135,CA,5.2,0.0,CARD_0002,454020,WellsFargo,visa,credit,198.51.0.12,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00001,disposable-mail.net,true,ADDR_00001,CA,US,90211,MERCH_002,electronics,LOW,5,ACCT_0002,DEV_0002
TXN_100003,211.76,1710381947,W,0.073,CA,5.2,0.0,CARD_0003,430028,BankOfAmerica,visa,credit,198.51.0.13,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00002,disposable-mail.net,true,ADDR_00002,CA,US,90212,MERCH_003,retail,LOW,4,ACCT_0003,DEV_0003
TXN_100004,178.93,1710214970,W,0.135,CA,5.2,0.0,CARD_0004,471069,Citibank,visa,credit,198.51.0.14,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00003,disposable-mail.net,true,ADDR_00003,CA,US,90213,MERCH_004,retail,LOW,2,ACCT_0004,DEV_0004
TXN_100005,163.53,1710499364,W,0.276,CA,5.2,0.0,CARD_0005,486556,Chase,amex,credit,198.51.0.15,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00004,disposable-mail.net,true,ADDR_00004,CA,US,90214,MERCH_005,crypto_gateway,HIGH,9,ACCT_0005,DEV_0005
TXN_100006,138.06,1710473748,W,0.113,CA,5.2,0.0,CARD_0006,449139,Citibank,amex,credit,198.51.0.16,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00005,disposable-mail.net,true,ADDR_00005,CA,US,90215,MERCH_006,electronics,LOW,10,ACCT_0006,DEV_0006
TXN_100007,339.35,1710498554,W,0.099,CA,5.2,0.0,CARD_0007,438906,Citibank,mastercard,credit,198.51.0.17,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00006,disposable-mail.net,true,ADDR_00006,CA,US,90216,MERCH_007,travel,LOW,1,ACCT_0007,DEV_0007
TXN_100008,31.94,1710175854,W,0.097,CA,5.2,0.0,CARD_0008,460968,WellsFargo,amex,credit,198.51.0.18,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00007,disposable-mail.net,true,ADDR_00007,CA,US,90217,MERCH_008,electronics,LOW,2,ACCT_0008,DEV_0008
TXN_100009,292.99,1710291564,W,0.237,CA,5.2,0.0,CARD_0009,426728,Chase,amex,credit,198.51.0.19,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00008,disposable-mail.net,true,ADDR_00008,CA,US,90218,MERCH_009,retail,LOW,4,ACCT_0009,DEV_0009
TXN_100010,125.07,1710078360,W,0.277,CA,5.2,0.0,CARD_0010,466179,BankOfAmerica,amex,credit,198.51.0.20,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00009,disposable-mail.net,true,ADDR_00009,CA,US,90219,MERCH_010,grocery,LOW,10,ACCT_0010,DEV_0010
TXN_100011,195.97,1710419651,W,0.249,CA,5.2,0.0,CARD_0011,452906,BankOfAmerica,amex,credit,198.51.0.21,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00010,disposable-mail.net,true,ADDR_00010,CA,US,90220,MERCH_011,electronics,LOW,9,ACCT_0011,DEV_0011
TXN_100012,59.15,1710188822,W,0.054,CA,5.2,0.0,CARD_0012,459692,WellsFargo,amex,credit,198.51.0.22,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00011,disposable-mail.net,true,ADDR_00011,CA,US,90221,MERCH_012,retail,LOW,9,ACCT_0012,DEV_0012
TXN_100013,32.55,1710389873,W,0.222,CA,5.2,0.0,CARD_0013,480702,Chase,discover,credit,198.51.0.23,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00012,disposable-mail.net,true,ADDR_00012,CA,US,90222,MERCH_013,travel,LOW,4,ACCT_0013,DEV_0013
TXN_100014,174.54,1710408904,W,0.075,CA,5.2,0.0,CARD_0014,495426,Chase,visa,credit,198.51.0.24,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00013,disposable-mail.net,true,ADDR_00013,CA,US,90223,MERCH_014,travel,LOW,10,ACCT_0014,DEV_0014
TXN_100015,183.79,1710496670,W,0.119,CA,5.2,0.0,CARD_0015,491439,BankOfAmerica,mastercard,credit,198.51.0.25,DATACENTER_PROXY,US,CloudProxy LLC,0.2,EMAIL_00014,disposable-mail.net,true,ADDR_00014,CA,US,90224,MERCH_015,digital_gaming,HIGH,1,ACCT_0015,DEV_0015
TXN_100016,230.52,1710017331,W,0.148,CA,5.2,0.0,CARD_0016,483920,BankOfAmerica,amex,credit,198.51.0.26,RESIDENTIAL,US,Comcast,0.9,EMAIL_00015,gmail.com,false,ADDR_00015,CA,US,90225,MERCH_016,retail,LOW,7,ACCT_0016,DEV_0016
TXN_100017,179.24,1710477945,W,0.124,CA,5.2,0.0,CARD_0017,431992,Chase,mastercard,credit,198.51.0.27,RESIDENTIAL,US,Comcast,0.9,EMAIL_00016,gmail.com,false,ADDR_00016,CA,US,90226,MERCH_017,digital_gaming,HIGH,5,ACCT_0017,DEV_0017
TXN_100018,64.69,1710067160,W,0.185,CA,5.2,0.0,CARD_0018,450888,Citibank,amex,credit,198.51.0.28,RESIDENTIAL,US,Comcast,0.9,EMAIL_00017,gmail.com,false,ADDR_00017,CA,US,90227,MERCH_018,retail,LOW,4,ACCT_0018,DEV_0018
TXN_100019,142.6,1710314205,W,0.189,CA,5.2,0.0,CARD_0019,492213,BankOfAmerica,visa,credit,198.51.0.29,RESIDENTIAL,US,Comcast,0.9,EMAIL_00018,gmail.com,false,ADDR_00018,CA,US,90228,MERCH_019,digital_gaming,HIGH,2,ACCT_0019,DEV_0019
TXN_100020,48.22,1710368934,W,0.252,CA,5.2,0.0,CARD_0020,488697,Chase,visa,credit,198.51.0.30,RESIDENTIAL,US,Comcast,0.9,EMAIL_00019,gmail.com,false,ADDR_00019,CA,US,90229,MERCH_020,electronics,LOW,7,ACCT_0020,DEV_0020
TXN_100021,199.7,1710454767,W,0.254,CA,5.2,0.0,CARD_0021,458571,Chase,discover,credit,198.51.0.31,RESIDENTIAL,US,Comcast,0.9,EMAIL_00020,gmail.com,false,ADDR_00020,CA,US,90230,MERCH_021,electronics,LOW,6,ACCT_0021,DEV_0021
TXN_100022,153.63,1710434805,W,0.218,CA,5.2,0.0,CARD_0022,423833,Citibank,discover,credit,198.51.0.32,RESIDENTIAL,US,Comcast,0.9,EMAIL_00021,gmail.com,false,ADDR_00021,CA,US,90231,MERCH_022,digital_gaming,HIGH,10,ACCT_0022,DEV_0022
TXN_100023,157.97,1710349708,W,0.208,CA,5.2,0.0,CARD_0023,467080,BankOfAmerica,discover,credit,198.51.0.33,RESIDENTIAL,US,Comcast,0.9,EMAIL_00022,gmail.com,false,ADDR_00022,CA,US,90232,MERCH_023,digital_gaming,HIGH,1,ACCT_0023,DEV_0023
TXN_100024,173.88,1710048828,W,0.072,CA,5.2,0.0,CARD_0024,470931,Citibank,discover,credit,198.51.0.34,RESIDENTIAL,US,Comcast,0.9,EMAIL_00023,gmail.com,false,ADDR_00023,CA,US,90233,MERCH_024,crypto_gateway,HIGH,8,ACCT_0024,DEV_0024
TXN_100025,262.5,1710426600,W,0.185,CA,5.2,0.0,CARD_0025,421359,WellsFargo,amex,credit,198.51.0.35,RESIDENTIAL,US,Comcast,0.9,EMAIL_00024,gmail.com,false,ADDR_00024,CA,US,90234,MERCH_025,grocery,LOW,2,ACCT_0025,DEV_0025
TXN_100026,203.13,1710173829,W,0.251,CA,5.2,0.0,CARD_0026,497580,Citibank,discover,credit,198.51.0.36,RESIDENTIAL,US,Comcast,0.9,EMAIL_00025,gmail.com,false,ADDR_00025,CA,US,90235,MERCH_026,travel,LOW,2,ACCT_0026,DEV_0026
TXN_100027,305.81,1710379043,W,0.122,CA,5.2,0.0,CARD_0027,433834,Citibank,mastercard,credit,198.51.0.37,RESIDENTIAL,US,Comcast,0.9,EMAIL_00026,gmail.com,false,ADDR_00026,CA,US,90236,MERCH_027,grocery,LOW,5,ACCT_0027,DEV_0027
